This is a great day!,Pozitivní
I feel wonderful today.,Pozitivní
Everything is going well.,Pozitivní
What beautiful weather!,Pozitivní
I love this!,Pozitivní
Excellent work!,Pozitivní
Congratulations!,Pozitivní
Have a fantastic time!,Pozitivní
This tastes delicious.,Pozitivní
I'm so happy.,Pozitivní
This is amazing!,Pozitivní
What a lovely surprise!,Pozitivní
You did a great job!,Pozitivní
I'm excited about this.,Pozitivní
This makes me smile.,Pozitivní
I'm very satisfied with the results.,Pozitivní
This is exactly what I wanted.,Pozitivní
The view is breathtaking.,Pozitivní
I feel great about this.,Pozitivní
The weather is wonderful.,Pozitivní
This is a terrible day.,Negativní
I feel awful today.,Negativní
Everything is going wrong.,Negativní
What dreadful weather!,Negativní
I hate this!,Negativní
Poor work.,Negativní
My condolences.,Negativní
This tastes disgusting.,Negativní
I'm so sad.,Negativní
This is disappointing.,Negativní
What a horrible experience.,Negativní
You made a mistake.,Negativní
I'm worried about this.,Negativní
This makes me angry.,Negativní
I'm very dissatisfied with the service.,Negativní
This is not what I expected.,Negativní
The situation is hopeless.,Negativní
We had a terrible trip.,Negativní
I feel terrible about this.,Negativní
The work was poor.,Negativní
¡Este es un gran día!,Pozitivní
Me siento maravilloso hoy.,Pozitivní
Todo va bien.,Pozitivní
¡Qué tiempo tan bonito!,Pozitivní
¡Me encanta esto!,Pozitivní
¡Excelente trabajo!,Pozitivní
¡Felicidades!,Pozitivní
¡Pásalo genial!,Pozitivní
Esto sabe delicioso.,Pozitivní
Estoy muy feliz.,Pozitivní
¡Esto es increíble!,Pozitivní
¡Qué agradable sorpresa!,Pozitivní
¡Hiciste un gran trabajo!,Pozitivní
Estoy emocionado por esto.,Pozitivní
Esto me hace sonreír.,Pozitivní
Estoy muy satisfecho con los resultados.,Pozitivní
Esto es exactamente lo que quería.,Pozitivní
La vista es impresionante.,Pozitivní
Me siento genial hoy.,Pozitivní
El trabajo fue excelente.,Pozitivní
Este es un día terrible.,Negativní
Me siento fatal hoy.,Negativní
Todo va mal.,Negativní
¡Qué tiempo tan espantoso!,Negativní
¡Odio esto!,Negativní
Mal trabajo.,Negativní
Mis condolencias.,Negativní
Esto sabe asqueroso.,Negativní
Estoy muy triste.,Negativní
Esto es decepcionante.,Negativní
¡Qué experiencia tan horrible!,Negativní
Cometiste un error.,Negativní
Estoy preocupado por esto.,Negativní
Esto me enfada.,Negativní
Estoy muy insatisfecho con el servicio.,Negativní
Esto no es lo que esperaba.,Negativní
La situación es desesperada.,Negativní
Tuvimos un viaje terrible.,Negativní
El tiempo es horrible.,Negativní
La experiencia fue terrible.,Negativní
Este é um ótimo dia!,Pozitivní
Sinto-me maravilhosamente hoje.,Pozitivní
Tudo está a correr bem.,Pozitivní
Que tempo lindo!,Pozitivní
Adoro isto!,Pozitivní
Excelente trabalho!,Pozitivní
Parabéns!,Pozitivní
Diverte-te imenso!,Pozitivní
Isto sabe deliciosamente.,Pozitivní
Estou tão feliz.,Pozitivní
Isto é incrível!,Pozitivní
Que surpresa adorável!,Pozitivní
Fizeste um ótimo trabalho!,Pozitivní
Estou entusiasmado com isto.,Pozitivní
Isto faz-me sorrir.,Pozitivní
Estou muito satisfeito com os resultados.,Pozitivní
Isto é exatamente o que eu queria.,Pozitivní
A vista é de tirar o fôlego.,Pozitivní
Isto é ótimo.,Pozitivní
Estou feliz com o trabalho.,Pozitivní
Este é um dia terrível.,Negativní
Sinto-me péssimo hoje.,Negativní
Tudo está a correr mal.,Negativní
Que tempo horrível!,Negativní
Odeio isto!,Negativní
Mau trabalho.,Negativní
Os meus pêsames.,Negativní
Isto tem um sabor nojento.,Negativní
Estou tão triste.,Negativní
